Population,Std_A1,Std_A2,Std_A3,Std_A4,Std_A5,Std_A6,Mean_A1,Mean_A2,Mean_A3,Mean_A4,Mean_A5,Mean_A6,meanAbDev_A1,meanAbDev_A2,meanAbDev_A3,meanAbDev_A4,meanAbDev_A5,meanAbDev_A6,meadAbDev_A1,meadAbDev_A2,meadAbDev_A3,meadAbDev_A4,meadAbDev_A5,meadAbDev_A6,mead_A1,mead_A2,mead_A3,mead_A4,mead_A5,mead_A6,var_A1,var_A2,var_A3,var_A4,var_A5,var_A6
Empty,1.1376154651,2.3215879808,2.3686448805,2.969953613,4.0653783221,4.8744505155,10.49040868,21.3906695981,21.7956617227,27.3193428549,37.4198441674,44.9003091294,1.0228528213,2.0861006363,2.1269958223,2.6681140126,3.6512162396,4.3781266956,0.1092839825,0.2927943254,0.4021005393,0.5109880267,0.7463009004,0.7680396754,11.3984912675,23.2508787832,23.6665415199,29.688629557,40.6302470201,48.7485649895,1.2941689463,5.3897707524,5.61047857,8.8206244633,16.5273009022,23.7602678278
Empty,1.0068566558,2.0531860303,2.0989269882,2.6505210962,3.6732951917,4.4314679458,10.4155629676,21.3061989809,21.7547201216,27.4819673521,38.0430264062,45.8144163808,0.8995464333,1.8263106546,1.859999482,2.3603710302,3.2759751338,3.9578383816,0.1433883605,0.483317733,0.6441672529,0.596061439,0.8826593207,0.8998964155,11.1875732264,22.7558027557,23.1591152545,29.3661485593,40.656087014,49.0473933723,1.0137603253,4.2155728749,4.4054945017,7.0252620814,13.4930975651,19.6379081547
Empty,0.9511523551,1.9636989127,2.0154260853,2.5329402279,3.501600549,4.2092504873,10.3894400827,21.3990365212,21.9317089581,27.6539257992,38.310104833,46.060151167,0.8574798062,1.7688064806,1.8144557629,2.2841900056,3.1600933388,3.7999836747,0.2531745094,0.6150395681,0.6779852766,0.6062207368,0.5327377615,0.403733802,11.0840668903,22.810136865,23.3678421786,29.5560867303,41.0321049273,49.4538628817,0.9046908026,3.8561134198,4.0619423055,6.415786198,12.261206405,17.7177896648
Empty,0.9418887364,1.9392863064,1.9884103933,2.5285977179,3.5350639062,4.2598579463,10.3265845152,21.2320260802,21.7410691426,27.5230639588,38.2893110736,46.0909437063,0.8171002624,1.6841013732,1.7285903167,2.2141456217,3.1125435204,3.7558460904,0.2552783974,0.4722804623,0.4440617535,0.4086393863,0.3147480089,0.2781459089,10.8550817467,22.3412445465,22.8939590106,29.0889238846,40.6264528661,48.9883477101,0.8871543919,3.7608313783,3.9537758923,6.3938064191,12.4966768206,18.1463897223
Empty,0.8835887088,1.9716724443,2.1105809207,2.3321359621,3.0330694592,3.5629820908,10.5251287424,21.9407801223,22.7394764703,28.4632684641,39.4058884646,47.2690414687,0.6483737303,1.4660622567,1.598580633,1.7681115167,2.5160298536,3.055636785,0.5467602604,1.1623776674,1.2246485148,1.4586887805,1.9997728064,1.9433262244,10.5668342389,21.8570148112,22.6109137477,28.6967928622,40.3250978003,48.722144485,0.7807290062,3.8874922275,4.4545518229,5.4388581459,9.1995103445,12.6948413794
One,0.3843940795,1.0814061651,1.5984711009,2.0236724791,2.017398023,1.6171949963,3.069472109,8.6087541235,12.7060634899,16.0763343426,16.0112731111,12.851129549,0.2991328063,0.8413523422,1.2443537913,1.5777657717,1.5741014109,1.2628621035,0.3719522806,1.0388851819,1.5331107802,2.0024119617,2.0462036586,1.6653044099,3.024366294,8.4968352306,12.5370659541,15.8404772417,15.7544099286,12.6230599968,0.1477588084,1.1694392939,2.5551098605,4.0952503026,4.0698947832,2.6153196561
One,0.3034544582,0.8396320735,1.2044536399,1.4993668651,1.5028694508,1.2264644277,3.2172402171,8.9815903096,13.1787863937,16.6100855619,16.6117548131,13.4885916554,0.2704618604,0.7490974599,1.0735124457,1.3295530641,1.3332202914,1.0941031831,0.3669274876,1.0478012759,1.5415542175,1.8644608137,1.8932967386,1.5929141317,3.3559360979,9.3810600317,13.7942271707,17.3895465696,17.3909704229,14.1238360989,0.0920846082,0.7049820189,1.4507085708,2.2481009961,2.258616586,1.5042149924
One,0.257926967,0.7204149638,1.0447313829,1.3090193958,1.3131536319,1.0680926244,3.4196561747,9.5509875932,13.8729304638,17.2507696956,17.2290644962,14.0888710066,0.1809134243,0.5016060206,0.7262706636,0.9109463578,0.912258166,0.7426092958,0.0233060474,0.049494691,0.0663852907,0.0629078015,0.0685268657,0.0539059073,3.4570995046,9.6500862851,14.0210864611,17.4383440859,17.4130906373,14.241103127,0.0665263203,0.5189977201,1.0914636625,1.7135317786,1.724372461,1.1408218542
One,0.241121586,0.6773913333,0.9814250772,1.2188344516,1.2189004205,0.9933694466,3.3925339517,9.5121510793,13.8366737199,17.201434357,17.1876503813,14.0506193223,0.1583568889,0.4452162226,0.6457591499,0.8017492627,0.8009124533,0.6520601567,0.0164098396,0.0444130428,0.0563808753,0.0687500451,0.0748899809,0.0538694923,3.4243837011,9.6030136887,13.974611155,17.3684960109,17.3582644334,14.1901147667,0.0581396192,0.4588590184,0.9631951822,1.4855574203,1.4857182351,0.9867828574
One,0.2385973159,0.6676458606,0.9642397848,1.1954037502,1.1929810801,0.973992328,3.404484475,9.5150473442,13.7607763262,17.0524018748,17.0319049446,13.9094843243,0.1664091788,0.4663916268,0.6735308679,0.8359821805,0.8356006975,0.6825025659,0.0144674951,0.0418807505,0.0523817231,0.0532149133,0.0554975279,0.0538895004,3.4537839179,9.6558843819,13.9541840284,17.3018966403,17.2843535204,14.1112995647,0.0569286792,0.4457509952,0.9297583626,1.4289901259,1.4232038576,0.9486610551
